Question Type,Domain,Language,Difficulty Level,Question Text,Correct Answer,First Answer,Is Correct,Second Answer,Is Correct,Third Answer,Is Correct,Fourth Answer,Is Correct
Open Ended,Software Testing (QA),English,Easy,What is a test script?,A test script is a set of instructions executed by a tester or automated tool to verify that the software behaves as expected for a particular test case.,,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is a test suite?,A test suite is a collection of test cases intended to test a specific behavior or a set of behaviors of the software.,,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What are the responsibilities of a QA tester?,"A QA tester is responsible for designing test cases, executing tests, identifying defects, reporting and tracking bugs, verifying fixes, and ensuring the overall quality of the software product.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is a test environment?,"A test environment is a setup of hardware and software configured for testing purposes, simulating the production environment to validate the application's behavior.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is static testing?,"Static testing involves reviewing documentation, code, and design without executing the code, aiming to find errors early in the development process.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is dynamic testing?,Dynamic testing involves executing the code with test cases and validating the output against expected results.,,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is boundary value analysis?,"Boundary value analysis is a testing technique where tests are designed to include boundary values, focusing on the values at and around the edges of input domains.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is equivalence partitioning?,Equivalence partitioning divides input data into equivalent partitions where test cases are designed to cover each partition at least once.,,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is a test scenario?,"A test scenario is a high-level statement of what to test, outlining a functionality or feature to be validated.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is test data?,"Test data is the data used by testers to execute test cases, which can be input values or expected outputs.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is smoke testing?,"Smoke testing is an initial testing process to check whether the critical functionalities of the application work, determining if the software build is stable enough for further testing.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is sanity testing?,Sanity testing is a quick evaluation to ensure that a particular function or bug fix works as expected after minor changes.,,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is API testing?,"API testing involves testing application programming interfaces directly to check functionality, reliability, performance, and security of the interactions between different software components.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is user acceptance testing (UAT)?,User Acceptance Testing is the final phase of testing where actual users test the software to ensure it can handle required tasks in real-world scenarios.,,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is test coverage?,"Test coverage measures the extent to which testing has covered the application's code or functionalities, often expressed as a percentage.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is test automation?,"Test automation uses specialized software tools to automate the execution of test cases, reducing manual effort and increasing efficiency.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is a test management tool?,"A test management tool helps plan, execute, and track the testing activities, managing test cases, test suites, and recording test results.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What are the key components of a defect report?,"A defect report typically includes an identifier, summary, description, steps to reproduce, expected and actual results, severity, priority, status, environment, and attachments like screenshots.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is a test baseline?,"A test baseline is a reference point in the development process against which future tests are compared, established from requirements or specifications.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is configuration management in testing?,"Configuration management involves controlling and documenting changes to the software's configuration items, maintaining consistency and traceability throughout the development and testing process.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is responsive testing?,"Responsive testing checks how a web application behaves across different devices and screen sizes, ensuring optimal user experience on desktops, tablets, and mobile devices.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is cross-browser testing?,Cross-browser testing verifies that a web application works consistently across different web browsers and versions.,,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is localization testing?,"Localization testing ensures that the software can function correctly in different regions and languages, checking aspects like translations, date formats, and cultural appropriateness.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is accessibility testing?,"Accessibility testing ensures that the software is usable by people with disabilities, complying with accessibility standards to provide equal access.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is security testing?,"Security testing identifies vulnerabilities and weaknesses in the software to protect against threats like unauthorized access, data breaches, and attacks.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is test estimation?,"Test estimation involves predicting the resources, time, and effort required to complete the testing process effectively.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is defect triage?,"Defect triage is the process of reviewing, prioritizing, and assigning defects based on their severity and impact on the project.",,,,,,,,
Open Ended,Software Testing (QA),English,Easy,What is a traceability matrix?,"A traceability matrix is a document that maps and traces user requirements with test cases, ensuring that all requirements are covered by tests.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea software și de ce este importantă?,"Testarea software este procesul de evaluare și verificare a faptului că o aplicație software îndeplinește specificațiile necesare și funcționează conform așteptărilor. Este importantă deoarece asigură calitatea, fiabilitatea și performanța software-ului, descoperind defecte înainte ca produsul să ajungă la utilizator.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Care este diferența dintre testarea funcțională și cea nefuncțională?,"Testarea funcțională verifică dacă software-ul funcționează corect conform cerințelor (ce face sistemul), în timp ce testarea nefuncțională evaluează aspecte precum performanța, ușurința de utilizare, fiabilitatea și securitatea (cum funcționează sistemul).",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Care sunt diferitele niveluri de testare?,"Diferitele niveluri de testare sunt: Testarea Unităților, Testarea Integrării, Testarea Sistemului și Testarea de Acceptanță.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este Testarea Unităților?,Testarea Unităților implică testarea componentelor sau modulelor individuale de cod pentru a verifica dacă fiecare unitate funcționează corect în izolare.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este Testarea Integrării?,Testarea Integrării testează interacțiunile și interfețele dintre unitățile sau componentele integrate pentru a detecta probleme în interacțiunea lor.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este Testarea Sistemului?,Testarea Sistemului evaluează software-ul complet și integrat pentru a se asigura că îndeplinește cerințele specificate.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este Testarea de Acceptanță?,Testarea de Acceptanță este nivelul final de testare efectuat pentru a determina dacă sistemul îndeplinește cerințele de afaceri și este gata pentru implementare.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea la nivel de cutie neagră (black-box testing)?,Testarea la nivel de cutie neagră este o metodă în care testerul evaluează funcționalitatea software-ului fără a cunoaște structura internă a codului sau detaliile de implementare.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea la nivel de cutie albă (white-box testing)?,"Testarea la nivel de cutie albă implică testarea structurilor interne sau a funcționării unei aplicații, cu cunoașterea codului și a logicii.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea exploratorie?,"Testarea exploratorie este o abordare informală de testare în care testerul explorează activ aplicația fără cazuri de testare predefinite, concepând teste bazate pe intuiție și experiență.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea de regresie?,Testarea de regresie implică rerularea testelor anterioare după modificări ale software-ului pentru a se asigura că funcționalitățile existente funcționează în continuare conform intenției.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este un caz de testare și ce include acesta?,"Un caz de testare este un set de acțiuni executate pentru a verifica o anumită caracteristică sau funcționalitate a software-ului. De obicei include pași de testare, precondiții, date de test, rezultate așteptate și rezultate reale.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este un plan de testare?,"Un plan de testare este un document cuprinzător care detaliază strategia de testare, obiectivele, resursele, calendarul și sfera de cuprindere, descriind modul în care se va desfășura testarea.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Care este diferența dintre verificare și validare?,"Verificarea verifică dacă produsul este construit corect conform specificațiilor (construim produsul corect?), în timp ce validarea verifică dacă produsul potrivit este construit pentru a satisface nevoile utilizatorului (construim produsul potrivit?).",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este un defect sau bug în testarea software?,"Un defect sau bug este o eroare, imperfecțiune sau defecțiune în aplicația software care determină producerea unor rezultate incorecte sau neașteptate.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este ciclul de viață al unui defect?,"Ciclul de viață al unui defect, sau ciclul de viață al bug-ului, este progresia unui defect prin diferite etape de la identificare la închidere, cum ar fi Nou, Alocat, Remediat, Retestat și Închis.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce sunt severitatea și prioritatea în gestionarea defectelor?,"Severitatea se referă la impactul defectului asupra funcționalității aplicației, în timp ce prioritatea indică urgența remedierii defectului.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Care este diferența dintre retestare și testarea de regresie?,"Retestarea implică verificarea defectelor specifice după remediere pentru a se asigura că sunt rezolvate, în timp ce testarea de regresie verifică dacă modificările recente nu au afectat negativ părțile neschimbate ale software-ului.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce sunt metricile de testare în testarea software?,"Metricile de testare sunt măsuri cantitative folosite pentru a estima și monitoriza calitatea, progresul și eficacitatea procesului de testare, cum ar fi densitatea defectelor, rata de execuție a testelor și ratele de succes/eșec.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea de uzabilitate?,"Testarea de uzabilitate evaluează cât de ușor și prietenoasă pentru utilizator este aplicația, concentrându-se pe experiența și satisfacția utilizatorului.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea de performanță?,"Testarea de performanță evaluează viteza, capacitatea de reacție și stabilitatea unei aplicații sub o anumită sarcină de lucru.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea de încărcare (load testing)?,"Testarea de încărcare verifică modul în care sistemul se comportă sub sarcini de utilizare așteptate, asigurându-se că poate gestiona traficul anticipat fără degradarea performanței.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea de stres?,"Testarea de stres evaluează robustețea sistemului prin testarea acestuia dincolo de capacitatea operațională normală, adesea până la punctul de eșec.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este Dezvoltarea Condusă de Teste (TDD)?,"Dezvoltarea Condusă de Teste este o abordare de dezvoltare software în care cazurile de testare sunt scrise înaintea codului propriu-zis, ghidând designul și asigurându-se că codul îndeplinește cerințele testului.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea agilă?,"Testarea agilă este o practică de testare software care urmează principiile dezvoltării software agile, implicând testarea continuă pe parcursul ciclului de dezvoltare cu versiuni și feedback frecvente.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este un script de testare?,Un script de testare este un set de instrucțiuni executate de un tester sau instrument automatizat pentru a verifica că software-ul se comportă conform așteptărilor pentru un anumit caz de testare.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este o suită de teste?,O suită de teste este o colecție de cazuri de testare destinate să testeze un comportament specific sau un set de comportamente ale software-ului.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Care sunt responsabilitățile unui tester QA?,"Un tester QA este responsabil pentru proiectarea cazurilor de testare, executarea testelor, identificarea defectelor, raportarea și urmărirea bug-urilor, verificarea remediilor și asigurarea calității generale a produsului software.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este un mediu de testare?,"Un mediu de testare este o configurare de hardware și software destinată testării, simulând mediul de producție pentru a valida comportamentul aplicației.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea statică?,"Testarea statică implică revizuirea documentației, codului și designului fără a executa codul, având ca scop găsirea erorilor devreme în procesul de dezvoltare.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea dinamică?,Testarea dinamică implică executarea codului cu cazuri de testare și validarea ieșirii în raport cu rezultatele așteptate.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este analiza valorilor de frontieră?,Analiza valorilor de frontieră este o tehnică de testare în care testele sunt concepute pentru a include valorile de la și din jurul marginilor domeniilor de intrare.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este partiționarea echivalentă?,Partiționarea echivalentă împarte datele de intrare în partiții echivalente unde cazurile de testare sunt concepute pentru a acoperi fiecare partiție cel puțin o dată.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este un scenariu de testare?,"Un scenariu de testare este o declarație la nivel înalt a ceea ce trebuie testat, conturând o funcționalitate sau caracteristică care trebuie validată.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce sunt datele de testare?,"Datele de testare sunt datele folosite de testeri pentru a executa cazurile de testare, care pot fi valori de intrare sau ieșiri așteptate.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea de fum (smoke testing)?,"Testarea de fum este un proces de testare inițială pentru a verifica dacă funcționalitățile critice ale aplicației funcționează, determinând dacă versiunea software este suficient de stabilă pentru testări ulterioare.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea de sănătate (sanity testing)?,Testarea de sănătate este o evaluare rapidă pentru a se asigura că o anumită funcție sau remediere de bug funcționează conform așteptărilor după modificări minore.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea API?,"Testarea API implică testarea interfețelor de programare a aplicațiilor direct pentru a verifica funcționalitatea, fiabilitatea, performanța și securitatea interacțiunilor dintre diferitele componente software.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea de acceptare a utilizatorului (UAT)?,Testarea de Acceptare a Utilizatorului este faza finală de testare în care utilizatorii reali testează software-ul pentru a se asigura că poate gestiona sarcinile necesare în scenarii reale.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este acoperirea testelor (test coverage)?,"Acoperirea testelor măsoară măsura în care testarea a acoperit codul sau funcționalitățile aplicației, adesea exprimată ca procentaj.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este automatizarea testelor?,"Automatizarea testelor folosește instrumente software specializate pentru a automatiza execuția cazurilor de testare, reducând efortul manual și crescând eficiența.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este un instrument de management al testelor?,"Un instrument de management al testelor ajută la planificarea, executarea și urmărirea activităților de testare, gestionând cazurile de testare, suitele de teste și înregistrând rezultatele testelor.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Care sunt componentele cheie ale unui raport de defect?,"Un raport de defect include de obicei un identificator, un rezumat, o descriere, pași pentru reproducere, rezultate așteptate și reale, severitate, prioritate, stare, mediu și atașamente precum capturi de ecran.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este o bază de referință a testelor (test baseline)?,"O bază de referință a testelor este un punct de referință în procesul de dezvoltare față de care se compară testele viitoare, stabilită din cerințe sau specificații.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este managementul configurației în testare?,"Managementul configurației implică controlul și documentarea modificărilor aduse elementelor de configurație ale software-ului, menținând consistența și trasabilitatea pe parcursul procesului de dezvoltare și testare.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea de responsivitate?,"Testarea de responsivitate verifică modul în care o aplicație web se comportă pe diferite dispozitive și dimensiuni de ecran, asigurând o experiență optimă a utilizatorului pe desktop-uri, tablete și dispozitive mobile.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea cross-browser?,Testarea cross-browser verifică faptul că o aplicație web funcționează în mod consecvent pe diferite browsere web și versiuni ale acestora.,,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea de localizare?,"Testarea de localizare asigură că software-ul poate funcționa corect în diferite regiuni și limbi, verificând aspecte precum traducerile, formatele de date și adecvarea culturală.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea de accesibilitate?,"Testarea de accesibilitate asigură că software-ul este utilizabil de către persoanele cu dizabilități, respectând standardele de accesibilitate pentru a oferi acces egal.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este testarea de securitate?,"Testarea de securitate identifică vulnerabilitățile și punctele slabe din software pentru a proteja împotriva amenințărilor precum accesul neautorizat, breșele de date și atacurile.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este estimarea testelor?,"Estimarea testelor implică prezicerea resurselor, timpului și efortului necesar pentru a finaliza procesul de testare în mod eficient.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este trierea defectelor?,"Trierea defectelor este procesul de revizuire, prioritizare și alocare a defectelor pe baza severității și impactului lor asupra proiectului.",,,,,,,,
Open Ended,Software Testing (QA),Romanian,Easy,Ce este o matrice de trasabilitate?,"O matrice de trasabilitate este un document care map-ează și urmărește cerințele utilizatorului cu cazurile de testare, asigurând că toate cerințele sunt acoperite de teste.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,"What is automation testing, and what are its main benefits?","Automation testing uses software tools to execute test cases automatically. Benefits include increased testing efficiency, repeatability, accuracy, and the ability to run complex tests unattended.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,Explain the difference between Selenium WebDriver and Selenium IDE.,"Selenium WebDriver is a tool for automating web application testing at the code level, supporting various programming languages. Selenium IDE is a record-and-playback tool for creating quick test scripts without programming.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,What are the key considerations when deciding what tests to automate?,"Consider automating tests that are repetitive, time-consuming, high risk, require multiple data sets, or are critical for regression testing. Avoid automating tests that are infrequently executed or require visual confirmation.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,"What is a framework in automation testing, and why is it important?","An automation testing framework provides a structured approach to automate tests, defining coding standards, test data handling, object repositories, and reporting mechanisms. It enhances maintainability and scalability.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,Describe the Page Object Model (POM) design pattern.,"POM is a design pattern that creates an object repository for web UI elements. Each page of the application has a corresponding page class, encapsulating the elements and actions, promoting code reusability and readability.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,"What is continuous integration, and how does it relate to automation testing?","Continuous integration (CI) is a development practice where code changes are integrated frequently, triggering automated builds and tests. Automation testing in CI ensures that code changes do not break existing functionality.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,Explain how you would handle dynamic web elements in automation.,"Handle dynamic web elements by using strategies like relative XPath, CSS selectors, waiting mechanisms, utilizing element attributes that remain consistent, or using indexing.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,"What is data-driven testing, and how is it implemented in automation?","Data-driven testing involves running the same test case with multiple sets of input data. It's implemented by separating test logic from test data, often using external files like Excel, CSV, or databases.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,Describe the use of test automation reports and what they should include.,"Test automation reports provide insights into test execution results. They should include test case summaries, pass/fail status, execution time, error logs, screenshots on failure, and any exceptions encountered.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,What is the difference between assert and verify commands in Selenium?,"'Assert' stops the test execution if the check fails, indicating a critical failure. 'Verify' logs the failure but allows the test to continue, useful for checking multiple validations in a single test.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,How do you manage test data in automation testing?,"Manage test data by storing it in external sources like files or databases, using data generators, parameterizing tests, and ensuring data is reusable, maintainable, and secure.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,"What are locators in Selenium, and name some commonly used ones.","Locators are methods to identify elements on a web page. Common locators include ID, Name, Class Name, Tag Name, Link Text, Partial Link Text, CSS Selector, and XPath.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,Explain the concept of parallel testing in automation.,"Parallel testing involves running multiple tests simultaneously using multiple threads or machines, reducing the overall test execution time and improving efficiency.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,"What is an assertion in automation testing, and why is it used?","An assertion is a statement that checks if a condition is true or false. It's used to validate the expected outcomes of test cases, ensuring that the application behaves as intended.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,Describe how you would handle exceptions in your automation scripts.,"Handle exceptions using try-catch blocks, implementing error handling mechanisms, logging errors, and using automation frameworks' built-in exception handling features to ensure scripts can recover or fail gracefully.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,"What is a headless browser, and why would you use it in testing?",A headless browser is a web browser without a graphical user interface. It's used in automation testing to execute tests faster and consume fewer resources since it doesn't render the UI.,,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,Explain the concept of keyword-driven testing.,"Keyword-driven testing separates test case design from test script code by using keywords to represent actions to be performed, allowing testers to write tests without programming knowledge.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,"What is BDD (Behavior-Driven Development), and how does it relate to automation testing?","BDD is a development approach that encourages collaboration between developers, testers, and business stakeholders using natural language descriptions. In automation, tools like Cucumber execute tests written in Gherkin syntax.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,How do you handle synchronization issues in automation testing?,"Handle synchronization using explicit waits, implicit waits, fluent waits, or sleep commands to ensure that the automation script waits for elements to be available before interacting with them.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,"What are test runners, and name some examples used in automation frameworks.","Test runners execute test scripts and generate reports. Examples include JUnit and TestNG for Java, NUnit for .NET, and PyTest for Python.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,Explain the significance of the 'selenium grid'.,"Selenium Grid allows the execution of tests across multiple browsers, operating systems, and machines in parallel, facilitating distributed testing and reducing execution time.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,"What is a build tool, and how is it used in automation testing?","A build tool automates the process of building executable applications from source code. In automation testing, tools like Maven or Gradle manage dependencies and build automation projects.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,How do you maintain your automation scripts?,"Maintain scripts by following coding standards, using version control systems, modularizing code with functions or classes, regularly refactoring, and keeping documentation up to date.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,"What is API automation testing, and which tools can be used for it?","API automation testing involves verifying APIs and web services programmatically. Tools like Postman, SoapUI, or REST-assured allow testers to automate API testing.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,Explain how you would integrate your automation tests with a CI/CD pipeline.,"Integrate automation tests with CI/CD by configuring the build server (like Jenkins) to trigger test execution after code commits, and integrating reports and notifications within the pipeline.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,What is the role of a test harness in automation testing?,"A test harness provides the necessary environment, including software, test data, and configuration, to execute automated tests and log results, enabling repeatable and consistent testing.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,Describe how you would test mobile applications using automation.,"Test mobile apps using automation tools like Appium or Espresso, which allow writing scripts to interact with mobile UI elements across different platforms like Android and iOS.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,What is a hybrid framework in automation testing?,"A hybrid framework combines features of multiple frameworks (like data-driven and keyword-driven) to leverage their advantages, improving flexibility and maintainability.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,How do you handle pop-ups and alerts in automation scripts?,"Handle pop-ups and alerts by switching to the alert using the automation tool's API methods (e.g., 'driver.switchTo().alert()' in Selenium) and performing actions like accept, dismiss, or retrieve text.",,,,,,,,
Open Ended,Software Testing (QA Automation),English,Medium,What are some best practices for writing effective automation test scripts?,"Best practices include keeping tests independent, using descriptive names, implementing proper synchronization, handling exceptions, avoiding hard-coded values, reusing code, and maintaining clear reporting.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,What is the difference between verification and validation in testing?,"Verification ensures the product is built according to the requirements and design specifications (Are we building the product right?), while validation checks if the product meets the user's needs and expectations (Are we building the right product?).",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,Explain the concept of boundary value analysis with an example.,"Boundary value analysis is a testing technique that focuses on values at the edges of input domains. For example, if an input field accepts numbers 1 to 100, tests should include values like 0, 1, 100, and 101.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,"What is equivalence partitioning, and how does it aid in test case design?","Equivalence partitioning divides input data into partitions of equivalent data from which test cases can be derived, reducing the number of test cases while maintaining coverage.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,Describe the role of a test strategy document.,"A test strategy outlines the testing approach, objectives, resources, schedule, and scope. It serves as a guideline for testing activities and ensures alignment with project goals.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,"What is a test plan, and what are its main components?","A test plan is a detailed document that describes the scope, approach, resources, and schedule of testing activities. Main components include test objectives, resources, schedules, test environment, test criteria, and deliverables.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,"What is risk-based testing, and why is it important?","Risk-based testing prioritizes testing efforts based on the risk of failure and its impact. It ensures that critical functionalities are tested thoroughly, optimizing resources and time.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,How do you determine when to stop testing?,"Testing can be stopped when exit criteria are met, such as reaching a defined coverage level, the rate of finding defects falls below a threshold, deadlines are reached, or critical functionalities are stable.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,"What is a test case review, and why is it necessary?","A test case review involves evaluating test cases for correctness, completeness, and compliance with standards. It ensures the effectiveness of the test cases and prevents errors during execution.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,Explain the difference between test scenarios and test cases.,"Test scenarios are high-level descriptions of what to test, focusing on functionality, while test cases are detailed steps specifying how to test, including inputs, procedures, and expected results.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,What is gray-box testing?,"Gray-box testing is a combination of black-box and white-box testing approaches where the tester has limited knowledge of the internal workings of the application, allowing for more informed testing.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,"What is adhoc testing, and when would you use it?","Adhoc testing is an informal testing approach without planning or documentation, used to quickly find defects through random testing, often employed when time is limited.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,How do you perform compatibility testing manually?,"Manually perform compatibility testing by executing the application across different environments (browsers, operating systems, hardware) to ensure consistent functionality and appearance.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,"What is end-to-end testing, and how does it differ from system testing?","End-to-end testing validates the entire workflow of an application, including external interfaces and interactions with other systems, while system testing focuses on the integrated system as per requirements.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,Explain the purpose of a Defect Triage Meeting.,"A Defect Triage Meeting involves stakeholders reviewing and prioritizing defects based on severity, impact, and resources, ensuring that critical issues are addressed promptly.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,What is the role of a traceability matrix in manual testing?,"A traceability matrix maps test cases to requirements, ensuring that all requirements are covered by tests and helping identify missing or redundant tests.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,How do you ensure test coverage in manual testing?,"Ensure test coverage by creating a traceability matrix, reviewing requirements thoroughly, designing comprehensive test cases, and using coverage metrics to measure the extent of testing.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,What is the difference between positive and negative testing?,"Positive testing verifies that the system works as expected with valid input, while negative testing ensures that the system handles invalid or unexpected input gracefully.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,Describe how you would test localization manually.,"Manually test localization by verifying that the software correctly adapts to different languages and regions, checking translations, date formats, currency, and cultural appropriateness.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,"What are test artifacts, and why are they important?","Test artifacts are documents and tools produced during the testing process, such as test plans, cases, scripts, reports, and defect logs. They provide documentation, facilitate communication, and support audit and review processes.",,,,,,,,
Open Ended,Software Testing (QA),English,Medium,"What is a pain point in testing, and how do you address it?","A pain point is a recurring problem or inefficiency in the testing process. Address it by analyzing the root cause, implementing process improvements, training, or adopting better tools.",,,,,,,,
